Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,DateTime,Year,Month,Month_Name,Day,Day_of_Week,Day_Name,Hour,Is_Weekend,Time_Period,Is_Completed,Is_Cancelled,Is_Incomplete,Is_No_Driver_Found,Booking_Outcome,Revenue,Fare_Per_KM,Has_Booking_Value,Has_Ride_Distance,Has_Driver_Rating,Has_Customer_Rating,Has_Payment_Method,Has_VTAT,Has_CTAT
2024-07-21,17:59:41,CNR1026036,No Driver Found,CID6974869,Go Mini,Seelampur,Nehru Place,,,,,,,,,,,,,,2024-07-21 17:59:41,2024,7,July,21,6,Sunday,17,1,Evening,0,0,0,1,No Driver Found,0.0,,0,0,0,0,0,0,0
2024-10-15,18:17:23,CNR1026036,Completed,CID6480133,Go Mini,Khandsa,Ashok Vihar,3.8,43.3,,,,,,,102.0,36.51,4.9,4.2,UPI,2024-10-15 18:17:23,2024,10,October,15,1,Tuesday,18,0,Evening,1,0,0,0,Completed,102.0,2.7937551355792936,1,1,1,1,1,1,1
2024-12-17,19:19:02,CNR1029172,Completed,CID6382731,Auto,Inderlok,Laxmi Nagar,6.9,34.4,,,,,,,332.0,36.38,4.3,4.3,UPI,2024-12-17 19:19:02,2024,12,December,17,1,Tuesday,19,0,Evening,1,0,0,0,Completed,332.0,9.125893347993403,1,1,1,1,1,1,1
2024-01-19,17:00:57,CNR1029172,Incomplete,CID2615731,Bike,Jhilmil,Narsinghpur,4.7,26.7,,,,,1.0,Customer Demand,429.0,16.16,,,UPI,2024-01-19 17:00:57,2024,1,January,19,4,Friday,17,0,Evening,0,0,1,0,Incomplete,0.0,,1,1,0,0,1,1,1
2024-11-05,16:50:20,CNR1051228,Completed,CID3177617,Auto,Dwarka Sector 21,Nehru Place,8.5,24.8,,,,,,,246.0,4.8,4.6,4.5,UPI,2024-11-05 16:50:20,2024,11,November,5,1,Tuesday,16,0,Afternoon,1,0,0,0,Completed,246.0,51.25,1,1,1,1,1,1,1
2024-01-31,08:42:04,CNR1051228,Completed,CID5242056,Premier Sedan,Arjangarh,Yamuna Bank,14.2,25.4,,,,,,,930.0,13.06,3.4,4.2,Cash,2024-01-31 08:42:04,2024,1,January,31,2,Wednesday,8,0,Morning,1,0,0,0,Completed,930.0,71.20980091883614,1,1,1,1,1,1,1
2024-04-20,23:16:21,CNR1056023,Completed,CID9367665,Premier Sedan,Badshahpur,Sultanpur,7.1,25.7,,,,,,,116.0,46.54,3.8,5.0,Credit Card,2024-04-20 23:16:21,2024,4,April,20,5,Saturday,23,1,Late Evening,1,0,0,0,Completed,116.0,2.4924795874516543,1,1,1,1,1,1,1
2024-07-07,17:18:49,CNR1056023,Incomplete,CID4890470,Go Sedan,Meerut,Tilak Nagar,6.6,24.2,,,,,1.0,Customer Demand,420.0,5.13,,,Uber Wallet,2024-07-07 17:18:49,2024,7,July,7,6,Sunday,17,1,Evening,0,0,1,0,Incomplete,0.0,,1,1,0,0,1,1,1
2024-02-12,19:02:47,CNR1058956,Cancelled by Customer,CID2451799,Premier Sedan,Patel Chowk,Kaushambi,19.9,,1.0,Wrong Address,,,,,,,,,,2024-02-12 19:02:47,2024,2,February,12,0,Monday,19,0,Evening,0,1,0,0,Customer Cancelled,0.0,,0,0,0,0,0,1,0
2024-10-15,13:33:55,CNR1058956,Completed,CID1882606,Go Mini,Badshahpur,MG Road,3.7,20.2,,,,,,,194.0,24.65,4.3,4.3,Cash,2024-10-15 13:33:55,2024,10,October,15,1,Tuesday,13,0,Afternoon,1,0,0,0,Completed,194.0,7.870182555780934,1,1,1,1,1,1,1
