Drop Location,Total_Bookings,Completed_Bookings,Cancelled_Bookings,Revenue,Completion_Rate,Cancellation_Rate
Ashram,936,592,232,285391.0,63.25,24.79
Basai Dhankot,917,544,258,271795.0,59.32,28.14
Lok Kalyan Marg,916,560,234,292900.0,61.14,25.55
Narsinghpur,913,574,223,325331.0,62.87,24.42
Cyber Hub,912,571,218,276185.0,62.61,23.9
Kalkaji,912,543,239,269667.0,59.54,26.21
Kashmere Gate ISBT,909,570,220,273398.0,62.71,24.2
Udyog Vihar,906,564,233,280810.0,62.25,25.72
Lajpat Nagar,904,572,215,298564.0,63.27,23.78
Madipur,902,562,210,266012.0,62.31,23.28
Nehru Place,902,552,238,271898.0,61.2,26.39
Shastri Nagar,901,546,238,278170.0,60.6,26.42
Punjabi Bagh,901,561,233,292034.0,62.26,25.86
Moolchand,899,536,239,277727.0,59.62,26.59
Sarai Kale Khan,896,573,212,297659.0,63.95,23.66
Gurgaon Sector 56,894,546,239,279487.0,61.07,26.73
Hauz Khas,892,544,238,286380.0,60.99,26.68
Gurgaon Railway Station,891,550,231,281224.0,61.73,25.93
New Colony,890,548,222,277234.0,61.57,24.94
South Extension,887,555,209,270017.0,62.57,23.56
Paharganj,887,536,244,272281.0,60.43,27.51
Uttam Nagar,883,534,240,271420.0,60.48,27.18
Preet Vihar,882,589,193,272672.0,66.78,21.88
Samaypur Badli,881,550,206,289969.0,62.43,23.38
Dilshad Garden,879,560,212,276058.0,63.71,24.12
Gwal Pahari,878,558,209,294219.0,63.55,23.8
Ghaziabad,878,516,241,283548.0,58.77,27.45
Sultanpur,877,584,199,299292.0,66.59,22.69
Ghitorni,877,534,220,272403.0,60.89,25.09
Chirag Delhi,876,541,208,288349.0,61.76,23.74
DLF Phase 3,876,549,205,273435.0,62.67,23.4
Greater Noida,875,558,201,278284.0,63.77,22.97
Rohini,875,544,228,277551.0,62.17,26.06
Ardee City,875,532,248,278396.0,60.8,28.34
Bahadurgarh,875,540,233,260155.0,61.71,26.63
Khan Market,874,555,205,285822.0,63.5,23.46
Sushant Lok,873,532,218,282336.0,60.94,24.97
Chhatarpur,873,514,242,248864.0,58.88,27.72
Peeragarhi,873,545,217,274585.0,62.43,24.86
Nawada,872,540,233,271692.0,61.93,26.72
Jama Masjid,872,540,206,268377.0,61.93,23.62
Udyog Vihar Phase 4,872,531,223,254362.0,60.89,25.57
Botanical Garden,871,545,217,263778.0,62.57,24.91
Sikanderpur,871,531,208,268156.0,60.96,23.88
Tis Hazari,870,553,198,275863.0,63.56,22.76
Tilak Nagar,870,536,214,260540.0,61.61,24.6
Mandi House,869,539,217,264008.0,62.03,24.97
Rohini East,869,534,232,267696.0,61.45,26.7
Vaishali,869,553,202,290410.0,63.64,23.25
Vidhan Sabha,868,539,231,267076.0,62.1,26.61
Khandsa,867,512,233,263649.0,59.05,26.87
Noida Film City,867,521,211,273626.0,60.09,24.34
India Gate,867,556,202,266811.0,64.13,23.3
Mayur Vihar,867,569,192,301869.0,65.63,22.15
Dwarka Mor,867,574,193,279758.0,66.21,22.26
Sarojini Nagar,866,551,189,298015.0,63.63,21.82
RK Puram,866,497,232,263035.0,57.39,26.79
Noida Sector 18,866,538,221,270649.0,62.12,25.52
Noida Extension,866,579,191,296588.0,66.86,22.06
Manesar,864,542,214,276645.0,62.73,24.77
Faridabad Sector 15,864,551,213,281311.0,63.77,24.65
Rajiv Chowk,864,540,210,280836.0,62.5,24.31
GTB Nagar,861,504,234,260325.0,58.54,27.18
Sohna Road,861,532,215,276198.0,61.79,24.97
Subhash Nagar,861,529,208,276151.0,61.44,24.16
Ashok Park Main,861,522,221,273074.0,60.63,25.67
Kanhaiya Nagar,859,540,199,272181.0,62.86,23.17
Kaushambi,859,518,220,267053.0,60.3,25.61
Pitampura,859,536,201,277901.0,62.4,23.4
Janakpuri,859,535,219,281729.0,62.28,25.49
Arjangarh,857,550,197,282593.0,64.18,22.99
Netaji Subhash Place,857,532,200,277160.0,62.08,23.34
Rithala,856,544,218,284612.0,63.55,25.47
Akshardham,856,553,197,280184.0,64.6,23.01
Model Town,856,532,206,268661.0,62.15,24.07
Munirka,856,542,205,277722.0,63.32,23.95
Dwarka Sector 21,856,529,213,260431.0,61.8,24.88
Karkarduma,856,520,232,261307.0,60.75,27.1
IIT Delhi,856,537,203,279747.0,62.73,23.71
Shahdara,855,535,218,268374.0,62.57,25.5
Delhi Gate,855,534,213,255891.0,62.46,24.91
Jhilmil,855,539,220,283009.0,63.04,25.73
Bhikaji Cama Place,853,495,244,250545.0,58.03,28.6
ITO,853,529,213,257933.0,62.02,24.97
Paschim Vihar,853,543,218,290454.0,63.66,25.56
Old Gurgaon,851,534,208,263129.0,62.75,24.44
Panchsheel Park,851,545,178,280132.0,64.04,20.92
