Hour,Bookings,Completed,Cancelled,Revenue,Completion_Rate,Cancellation_Rate
0,1373,858,340,435728.0,62.49,24.76
1,1360,828,344,425933.0,60.88,25.29
2,1339,853,297,434751.0,63.7,22.18
3,1383,860,355,433713.0,62.18,25.67
4,1321,830,338,418249.0,62.83,25.59
5,2786,1715,736,856321.0,61.56,26.42
6,4160,2609,1005,1344912.0,62.72,24.16
7,5450,3346,1382,1675816.0,61.39,25.36
8,6861,4267,1714,2183749.0,62.19,24.98
9,8234,5084,2051,2631271.0,61.74,24.91
10,9577,5983,2385,3057782.0,62.47,24.9
11,8390,5254,2018,2637838.0,62.62,24.05
12,7006,4338,1733,2231782.0,61.92,24.74
13,5470,3376,1381,1684453.0,61.72,25.25
14,7031,4310,1834,2156802.0,61.3,26.08
15,8202,5057,2106,2564322.0,61.66,25.68
16,9633,5970,2362,3012213.0,61.97,24.52
17,11044,6860,2749,3522394.0,62.12,24.89
18,12397,7617,3146,3908167.0,61.44,25.38
19,11047,6798,2820,3395818.0,61.54,25.53
20,9630,6005,2368,3035369.0,62.36,24.59
21,8103,5109,1943,2625391.0,63.05,23.98
22,5441,3351,1391,1693633.0,61.59,25.57
23,2762,1722,702,894167.0,62.35,25.42
