,Avg VTAT,Avg CTAT,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Revenue,Fare_Per_KM,Hour,Is_Completed,Is_Cancelled
Avg VTAT,1.0,0.062,0.002,0.063,-0.005,-0.004,0.014,0.001,-0.004,0.021,0.072
Avg CTAT,0.062,1.0,0.0,0.102,0.001,0.001,0.114,0.003,-0.001,0.32,
Booking Value,0.002,0.0,1.0,0.005,-0.0,-0.0,0.892,0.482,-0.001,-0.001,
Ride Distance,0.063,0.102,0.005,1.0,-0.002,0.005,0.116,-0.497,-0.003,0.313,
Driver Ratings,-0.005,0.001,-0.0,-0.002,1.0,-0.001,-0.0,-0.0,-0.0,,
Customer Rating,-0.004,0.001,-0.0,0.005,-0.001,1.0,-0.0,-0.002,-0.002,,
Revenue,0.014,0.114,0.892,0.116,-0.0,-0.0,1.0,0.482,-0.001,0.62,-0.457
Fare_Per_KM,0.001,0.003,0.482,-0.497,-0.0,-0.002,0.482,1.0,-0.003,,
Hour,-0.004,-0.001,-0.001,-0.003,-0.0,-0.002,-0.001,-0.003,1.0,-0.001,0.001
Is_Completed,0.021,0.32,-0.001,0.313,,,0.62,,-0.001,1.0,-0.737
Is_Cancelled,0.072,,,,,,-0.457,,0.001,-0.737,1.0
