Pickup Location,Total_Bookings,Completed_Bookings,Cancelled_Bookings,Revenue,Avg_Ride_Distance,Completion_Rate,Cancellation_Rate
Khandsa,949,600,226,309041.0,24.59,63.22,23.81
Barakhamba Road,946,594,230,309713.0,23.3,62.79,24.31
Saket,931,557,249,255286.0,24.51,59.83,26.75
Badarpur,921,567,231,298309.0,24.45,61.56,25.08
Pragati Maidan,920,538,248,270546.0,25.09,58.48,26.96
Madipur,919,579,212,283263.0,24.1,63.0,23.07
AIIMS,918,562,236,296028.0,24.62,61.22,25.71
Mehrauli,915,574,224,276736.0,24.86,62.73,24.48
Dwarka Sector 21,914,565,227,287858.0,24.99,61.82,24.84
Pataudi Chowk,907,556,215,306774.0,24.4,61.3,23.7
Tilak Nagar,900,556,220,284870.0,24.21,61.78,24.44
Shivaji Park,900,561,243,286565.0,25.79,62.33,27.0
Udyog Vihar,897,539,229,291078.0,24.45,60.09,25.53
Greater Kailash,895,555,231,270403.0,24.94,62.01,25.81
Vishwavidyalaya,895,554,236,282782.0,24.9,61.9,26.37
Kanhaiya Nagar,895,572,196,275233.0,23.85,63.91,21.9
Tagore Garden,889,544,222,280202.0,23.77,61.19,24.97
Jasola,887,543,226,276694.0,24.04,61.22,25.48
Inderlok,887,559,223,296487.0,24.79,63.02,25.14
Subhash Chowk,887,582,190,299023.0,24.5,65.61,21.42
Malviya Nagar,885,557,223,277257.0,25.57,62.94,25.2
Nehru Place,885,533,244,268793.0,24.41,60.23,27.57
Rajiv Nagar,884,539,236,262128.0,24.56,60.97,26.7
Ashok Park Main,884,568,209,289440.0,24.69,64.25,23.64
Jor Bagh,884,545,222,281954.0,25.4,61.65,25.11
Jahangirpuri,884,562,210,283395.0,24.34,63.57,23.76
Noida Film City,883,559,221,285910.0,23.93,63.31,25.03
New Colony,881,537,230,278579.0,24.29,60.95,26.11
Nawada,880,531,227,250338.0,25.1,60.34,25.8
Lok Kalyan Marg,880,564,213,287826.0,24.44,64.09,24.2
Samaypur Badli,879,559,218,286364.0,25.7,63.59,24.8
IGI Airport,879,560,235,277271.0,24.86,63.71,26.73
ITO,878,551,224,292168.0,25.3,62.76,25.51
Mansarovar Park,877,538,229,260892.0,25.16,61.35,26.11
Panchsheel Park,876,561,211,286003.0,23.99,64.04,24.09
Gurgaon Railway Station,876,549,225,289476.0,24.05,62.67,25.68
Hauz Khas,876,553,202,285244.0,24.22,63.13,23.06
Ashram,874,536,226,281406.0,25.35,61.33,25.86
