Pickup Location,Drop Location,Total_Bookings,Completed_Bookings,Cancelled_Bookings,Revenue,Avg_Ride_Distance,Avg_Booking_Value,Completion_Rate,Cancellation_Rate
DLF City Court,Bhiwadi,17,13,1,5925.0,29.64,429.21,76.47,5.88
Janakpuri,Faridabad Sector 15,16,9,4,4248.0,21.22,506.8,56.25,25.0
Akshardham,RK Puram,16,7,5,4207.0,19.91,558.78,43.75,31.25
Rithala,Udyog Vihar Phase 4,15,11,3,6325.0,18.86,575.0,73.33,20.0
Ghaziabad,Badshahpur,15,6,6,2538.0,24.36,491.29,40.0,40.0
Vatika Chowk,Rithala,15,9,6,3277.0,17.1,364.11,60.0,40.0
Jor Bagh,Rohini East,15,7,6,1457.0,25.9,214.12,46.67,40.0
South Extension,Gwal Pahari,14,10,2,2777.0,29.03,277.7,71.43,14.29
Mayur Vihar,Vidhan Sabha,14,10,4,5058.0,20.5,505.8,71.43,28.57
Connaught Place,Paharganj,14,9,3,4766.0,26.24,499.1,64.29,21.43
Vaishali,IIT Delhi,14,9,3,5365.0,22.36,586.36,64.29,21.43
New Delhi Railway Station,Shahdara,14,9,3,5267.0,21.73,585.22,64.29,21.43
Rohini West,Sohna Road,14,13,0,6204.0,29.41,477.23,92.86,0.0
Subhash Nagar,Basai Dhankot,14,8,6,3901.0,19.98,487.62,57.14,42.86
Kashmere Gate ISBT,Tilak Nagar,14,7,2,1835.0,22.07,287.7,50.0,14.29
Indirapuram,Vaishali,14,8,3,2822.0,20.69,345.33,57.14,21.43
Chirag Delhi,Noida Film City,14,7,6,2973.0,23.61,423.75,50.0,42.86
Sarai Kale Khan,Rohini,13,7,4,4561.0,26.57,651.57,53.85,30.77
Sikanderpur,Kherki Daula Toll,13,6,5,2260.0,26.25,379.0,46.15,38.46
Noida Extension,Karol Bagh,13,4,5,2902.0,24.66,675.5,30.77,38.46
RK Puram,Botanical Garden,13,9,4,5717.0,28.35,635.22,69.23,30.77
MG Road,Basai Dhankot,13,10,0,3272.0,28.64,343.0,76.92,0.0
Hauz Khas,Tughlakabad,13,6,5,3477.0,22.12,628.71,46.15,38.46
Inderlok,Noida Film City,13,8,2,3132.0,22.85,456.5,61.54,15.38
Paharganj,Sarojini Nagar,13,10,2,5439.0,22.56,618.18,76.92,15.38
Sohna Road,Ambience Mall,13,6,2,2725.0,20.66,481.5,46.15,15.38
Adarsh Nagar,Narsinghpur,13,9,3,6687.0,31.11,743.0,69.23,23.08
Jahangirpuri,Delhi Gate,13,6,4,1704.0,26.81,344.5,46.15,30.77
Malviya Nagar,Shastri Park,13,7,4,3862.0,17.31,544.11,53.85,30.77
Sushant Lok,Sarai Kale Khan,13,11,1,5630.0,20.97,519.08,84.62,7.69
DLF City Court,New Colony,13,9,2,6747.0,32.73,749.67,69.23,15.38
Subhash Chowk,Raj Nagar Extension,13,5,4,2813.0,23.24,477.83,38.46,30.77
Delhi Gate,Indirapuram,13,7,2,3195.0,20.96,432.6,53.85,15.38
Noida Film City,Jahangirpuri,13,9,3,6254.0,29.39,696.9,69.23,23.08
Noida Film City,Jhilmil,13,7,4,3995.0,25.17,570.71,53.85,30.77
Cyber Hub,Ambience Mall,13,10,2,6193.0,24.81,581.45,76.92,15.38
Greater Kailash,Shahdara,13,9,4,3941.0,17.94,437.89,69.23,30.77
Ambience Mall,Akshardham,13,11,1,8518.0,26.94,774.36,84.62,7.69
Jasola,Akshardham,13,6,3,3172.0,14.38,457.44,46.15,23.08
Govindpuri,Azadpur,13,7,4,1908.0,27.29,287.5,53.85,30.77
Jama Masjid,New Colony,13,4,5,1912.0,27.11,703.0,30.77,38.46
Rajouri Garden,Kanhaiya Nagar,13,9,4,3129.0,26.26,347.67,69.23,30.77
Sarai Kale Khan,Patel Chowk,13,6,4,1957.0,21.79,333.88,46.15,30.77
Sarai Kale Khan,Gurgaon Railway Station,12,7,3,3125.0,34.55,446.43,58.33,25.0
Gurgaon Sector 29,New Delhi Railway Station,12,6,2,1525.0,24.57,227.71,50.0,16.67
AIIMS,Ashok Park Main,12,8,2,3758.0,19.2,484.6,66.67,16.67
Jahangirpuri,Sikanderpur,12,7,2,3197.0,20.55,438.11,58.33,16.67
Tagore Garden,Udyog Vihar,12,8,4,4654.0,37.26,581.75,66.67,33.33
Chhatarpur,Greater Kailash,12,7,4,3161.0,31.88,451.57,58.33,33.33
Vinobapuri,Gwal Pahari,12,5,5,1465.0,28.51,377.67,41.67,41.67
Udyog Vihar Phase 4,Bahadurgarh,12,9,3,3598.0,26.01,399.78,75.0,25.0
Rohini West,Gurgaon Railway Station,12,9,3,4073.0,25.5,452.56,75.0,25.0
Noida Sector 62,Sarai Kale Khan,12,11,1,5124.0,24.93,465.82,91.67,8.33
Udyog Vihar,Nawada,12,10,2,6019.0,26.66,601.9,83.33,16.67
Uttam Nagar,Dwarka Sector 21,12,9,3,4593.0,23.14,510.33,75.0,25.0
Indraprastha,Rajouri Garden,12,10,2,6223.0,22.76,622.3,83.33,16.67
Golf Course Road,Satguru Ram Singh Marg,12,6,3,2498.0,25.44,368.86,50.0,25.0
Panchsheel Park,Gurgaon Sector 56,12,8,2,2480.0,17.93,365.6,66.67,16.67
Jama Masjid,Khan Market,12,10,1,4752.0,19.74,469.36,83.33,8.33
Jahangirpuri,Connaught Place,12,4,8,1100.0,29.23,275.0,33.33,66.67
Saket,Karkarduma,12,10,0,3191.0,24.48,319.1,83.33,0.0
Malviya Nagar,Lajpat Nagar,12,4,6,1684.0,20.41,434.0,33.33,50.0
Basai Dhankot,Rohini East,12,8,2,4217.0,22.93,485.89,66.67,16.67
Tis Hazari,Chandni Chowk,12,7,3,3667.0,26.29,487.0,58.33,25.0
IGNOU Road,Udyog Vihar,12,8,3,5620.0,28.29,679.67,66.67,25.0
