Pickup Location,Bookings,Completed,Revenue
Khandsa,949,600,309041.0
Barakhamba Road,946,594,309713.0
Saket,931,557,255286.0
Badarpur,921,567,298309.0
Pragati Maidan,920,538,270546.0
Madipur,919,579,283263.0
AIIMS,918,562,296028.0
Mehrauli,915,574,276736.0
Dwarka Sector 21,914,565,287858.0
Pataudi Chowk,907,556,306774.0
Tilak Nagar,900,556,284870.0
Shivaji Park,900,561,286565.0
Udyog Vihar,897,539,291078.0
Greater Kailash,895,555,270403.0
Vishwavidyalaya,895,554,282782.0
Kanhaiya Nagar,895,572,275233.0
Tagore Garden,889,544,280202.0
Jasola,887,543,276694.0
Inderlok,887,559,296487.0
Subhash Chowk,887,582,299023.0
