Feature,Importance
numeric__Customer Rating,0.242623
numeric__Ride Distance,0.223888
numeric__Driver Ratings,0.178936
numeric__Avg CTAT,0.16369
categorical__Payment Method_UPI,0.101477
categorical__Payment Method_Cash,0.028367
numeric__Avg VTAT,0.023599
categorical__Payment Method_Uber Wallet,0.013015
categorical__Payment Method_Credit Card,0.010878
categorical__Payment Method_Debit Card,0.008119
numeric__Hour,0.000347
numeric__Day_of_Week,0.000245
categorical__Vehicle Type_Auto,8.1e-05
categorical__Time_Period_Afternoon,7.6e-05
categorical__Vehicle Type_Go Sedan,7.2e-05
categorical__Vehicle Type_Go Mini,7.2e-05
categorical__Time_Period_Morning,6.8e-05
numeric__Is_Weekend,6.6e-05
categorical__Time_Period_Evening,6.5e-05
categorical__Vehicle Type_Premier Sedan,6.1e-05
categorical__Pickup Location_Vinobapuri,5.9e-05
categorical__Vehicle Type_Bike,5.6e-05
categorical__Vehicle Type_eBike,4.8e-05
categorical__Time_Period_Night,4.7e-05
categorical__Time_Period_Late Evening,4.5e-05
categorical__Drop Location_Noida Extension,3.7e-05
categorical__Drop Location_Govindpuri,3.4e-05
categorical__Vehicle Type_Uber XL,2.7e-05
categorical__Drop Location_RK Puram,2.7e-05
categorical__Pickup Location_Akshardham,2.6e-05
categorical__Pickup Location_Patel Chowk,2.4e-05
categorical__Drop Location_Dwarka Mor,2.4e-05
categorical__Pickup Location_Subhash Nagar,2.3e-05
categorical__Pickup Location_Ghitorni Village,2.3e-05
categorical__Drop Location_Ghaziabad,2.3e-05
categorical__Pickup Location_Pragati Maidan,2.2e-05
categorical__Pickup Location_Kanhaiya Nagar,2.2e-05
categorical__Drop Location_Moolchand,2.1e-05
categorical__Pickup Location_Samaypur Badli,2.1e-05
categorical__Pickup Location_Sultanpur,2e-05
categorical__Pickup Location_Badshahpur,2e-05
categorical__Pickup Location_Rohini East,2e-05
categorical__Pickup Location_Subhash Chowk,2e-05
categorical__Drop Location_Preet Vihar,2e-05
